Rank,Country,Capital,Continent,Year,Population,Area,Growth_rate,GDP
36,Afghanistan,Kabul,Asia,2020,38972230,652230,0.3825003,20116137326
138,Albania,Tirana,Europe,2020,2866849,28748,-0.015977901,14887629268
34,Algeria,Algiers,Africa,2020,43451666,2381741,0.211826448,1.45009E+11
213,American Samoa,Pago Pago,Oceania,2020,46189,199,-0.15788802,709000000
203,Andorra,Andorra la Vella,Europe,2020,77700,468,0.086424586,0
42,Angola,Luanda,Africa,2020,33428485,1246700,0.430757589,58375976293
224,Anguilla,The Valley,North America,2020,15585,91,0.183191619,#N/A
201,Antigua and Barbuda,Saint John’s,North America,2020,92664,442,0.081323298,1370281481
33,Argentina,Buenos Aires,South America,2020,45036032,2780400,0.095763923,3.89288E+11
140,Armenia,Yerevan,Asia,2020,2805608,29743,-0.047749833,12641209802
198,Aruba,Oranjestad,North America,2020,106585,180,0.062227803,0
55,Australia,Canberra,Oceania,2020,25670051,7692024,0.165804766,1.32784E+12
99,Austria,Vienna,Europe,2020,8907777,83871,0.065163116,4.33258E+11
91,Azerbaijan,Baku,Asia,2020,10284951,86600,0.113427096,42607176471
176,Bahamas,Nassau,North America,2020,406471,13943,0.088940505,9907500000
154,Bahrain,Manama,Asia,2020,1477469,765,0.217381524,34729228723
8,Bangladesh,Dhaka,Asia,2020,167420951,147570,0.128240892,3.23057E+11
186,Barbados,Bridgetown,North America,2020,280693,430,0.021775611,4418000000
96,Belarus,Minsk,Europe,2020,9633740,207600,-0.010038302,60258239056
81,Belgium,Brussels,Europe,2020,11561717,30528,0.062858368,5.21861E+11
177,Belize,Belmopan,North America,2020,394921,22966,0.226059123,1636280797
77,Benin,Porto-Novo,Africa,2020,12643123,112622,0.338504252,15651545332
206,Bermuda,Hamilton,North America,2020,64031,54,0.009204533,6842700000
165,Bhutan,Thimphu,Asia,2020,772506,38394,0.09495178,2315437338
80,Bolivia,Sucre,South America,2020,11936162,1098581,0.167548348,36572764863
137,Bosnia and Herzegovina,Sarajevo,Europe,2020,3318407,51209,-0.129275682,19946496563
144,Botswana,Gaborone,Africa,2020,2546402,582000,0.217404899,15061922802
7,Brazil,Brasilia,South America,2020,213196304,8515767,0.085778011,1.44473E+12
221,British Virgin Islands,Road Town,North America,2020,30910,151,0.121715779,0
175,Brunei,Bandar Seri Begawan,Asia,2020,441725,5765,0.115317899,12005825770
108,Bulgaria,Sofia,Europe,2020,6979175,110879,-0.080752892,69889347433
58,Burkina Faso,Ouagadougou,Africa,2020,21522626,272967,0.335411863,17933606353
78,Burundi,Bujumbura,Africa,2020,12220227,27834,0.338967447,2841786382
73,Cambodia,Phnom Penh,Asia,2020,16396860,181035,0.141561839,25808561551
53,Cameroon,Yaounde,Africa,2020,26491087,475442,0.332681307,40804449726
39,Canada,Ottawa,North America,2020,37888705,9984670,0.115574166,1.64542E+12
171,Cape Verde,Praia,Africa,2020,582640,4033,0.117856074,1703698677
205,Cayman Islands,George Town,North America,2020,67311,264,0.244794171,5591623665
117,Central African Rep.,Bangui,Africa,2020,5343020,622984,0.146554331,2380087758
69,Chad,N'Djamena,Africa,2020,16644701,1284000,0.399334428,10829076802
65,Chile,Santiago,South America,2020,19300315,756102,0.135034764,2.5294E+11
1,China,Beijing,Asia,2020,1424929781,9706961,0.056919526,1.47227E+13
