Rank,Country,Capital,Continent,Year,Population,Area
36,Afghanistan,Kabul,Asia,2020,38972230,652230
138,Albania,Tirana,Europe,2020,2866849,28748
34,Algeria,Algiers,Africa,2020,43451666,2381741
213,American Samoa,Pago Pago,Oceania,2020,46189,199
203,Andorra,Andorra la Vella,Europe,2020,77700,468
42,Angola,Luanda,Africa,2020,33428485,1246700
224,Anguilla,The Valley,North America,2020,15585,91
201,Antigua and Barbuda,Saint John’s,North America,2020,92664,442
33,Argentina,Buenos Aires,South America,2020,45036032,2780400
140,Armenia,Yerevan,Asia,2020,2805608,29743
198,Aruba,Oranjestad,North America,2020,106585,180
55,Australia,Canberra,Oceania,2020,25670051,7692024
99,Austria,Vienna,Europe,2020,8907777,83871
91,Azerbaijan,Baku,Asia,2020,10284951,86600
176,Bahamas,Nassau,North America,2020,406471,13943
154,Bahrain,Manama,Asia,2020,1477469,765
8,Bangladesh,Dhaka,Asia,2020,167420951,147570
186,Barbados,Bridgetown,North America,2020,280693,430
96,Belarus,Minsk,Europe,2020,9633740,207600
81,Belgium,Brussels,Europe,2020,11561717,30528
177,Belize,Belmopan,North America,2020,394921,22966
77,Benin,Porto-Novo,Africa,2020,12643123,112622
206,Bermuda,Hamilton,North America,2020,64031,54
165,Bhutan,Thimphu,Asia,2020,772506,38394
80,Bolivia,Sucre,South America,2020,11936162,1098581
137,Bosnia and Herzegovina,Sarajevo,Europe,2020,3318407,51209
144,Botswana,Gaborone,Africa,2020,2546402,582000
7,Brazil,Brasilia,South America,2020,213196304,8515767
221,British Virgin Islands,Road Town,North America,2020,30910,151
175,Brunei,Bandar Seri Begawan,Asia,2020,441725,5765
108,Bulgaria,Sofia,Europe,2020,6979175,110879
58,Burkina Faso,Ouagadougou,Africa,2020,21522626,272967
78,Burundi,Bujumbura,Africa,2020,12220227,27834
73,Cambodia,Phnom Penh,Asia,2020,16396860,181035
53,Cameroon,Yaounde,Africa,2020,26491087,475442
39,Canada,Ottawa,North America,2020,37888705,9984670
171,Cape Verde,Praia,Africa,2020,582640,4033
205,Cayman Islands,George Town,North America,2020,67311,264
117,Central African Rep.,Bangui,Africa,2020,5343020,622984
69,Chad,N'Djamena,Africa,2020,16644701,1284000
65,Chile,Santiago,South America,2020,19300315,756102
1,China,Beijing,Asia,2020,1424929781,9706961
28,Colombia,Bogota,South America,2020,50930662,1141748
163,Comoros,Moroni,Africa,2020,806166,1862
223,Cook Islands,Avarua,Oceania,2020,17029,236
124,Costa Rica,San José,North America,2020,5123105,51100
130,Croatia,Zagreb,Europe,2020,4096868,56594
85,Cuba,Havana,North America,2020,11300698,109884
189,Curacao,Willemstad,North America,2020,189288,444
158,Cyprus,Nicosia,Europe,2020,1237537,9251
88,Czechia,Prague,Europe,2020,10530953,78865
115,Denmark,Copenhagen,Europe,2020,5825641,43094
160,Djibouti,Djibouti,Africa,2020,1090156,23200
204,Dominica,Roseau,North America,2020,71995,751
84,Dominican Republic,Santo Domingo,North America,2020,10999664,48671
15,Dem. Rep. Congo,Kinshasa,Africa,2020,92853164,2344858
67,Ecuador,Quito,South America,2020,17588595,276841
14,Egypt,Cairo,Africa,2020,107465134,1002450
112,El Salvador,San Salvador,North America,2020,6292731,21041
152,Eq. Guinea,Malabo,Africa,2020,1596049,28051
132,Eritrea,Asmara,Africa,2020,3555868,117600
156,Estonia,Tallinn,Europe,2020,1329444,45227
159,eSwatini,Mbabane,Africa,2020,1180655,17364
12,Ethiopia,Addis Ababa,Africa,2020,117190911,1104300
